Soru No,Soru,Cevap,Doğru Cevap
33,Makine hangi aylarda hiç kırmızı durum göstermedi?,"Aşağıda RTF makinesi titreşim verileri var:
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-03, Durum: Yellow, Değer: 9.11

Soru: RTF makinesi hangi aylarda hiç kırmızı durum göstermedi?
Lütfen kısa bir Türkçe cevap verin.",
33,Temmuz 2023'ün kaç ayında sarı durum hâkimdi?,"min=0.00, max=241.18, ort=2.95 mm/s",
33,2022–2023 kış aylarında makine performansı nasıldı?,"min=0.00, max=241.18, ort=2.95 mm/s",
34,Makine en son hangi tarihte kırmızı değerler verdi?,2023-05-24,
34,Son 10 günde kaç gün makine turuncu alarm seviyesindeydi?,Veri aralığı yalnızca 2023-01-18–2023-12-23 arasında mevcut.,
34,15/02/2023–15/03/2023 tarihleri arasında makine kaç gün tamamen durdu?,14351,
34,Günlük bazda en düşük titreşim değeri hangi tarihte ölçüldü?,2023-01-19: Yellow; 2023-01-20: Yellow; 2023-01-21: Yellow; 2023-01-22: Yellow; 2023-01-23: Yellow; 2023-01-24: Yellow; 2023-01-25: Yellow; 2023-01-26: Yellow; 2023-01-27: Yellow; 2023-01-28: Yellow; 2023-01-29: Yellow; 2023-01-30: Yellow; 2023-02-01: Yellow; 2023-02-03: Green; 2023-02-04: Green; 2023-02-05: Green; 2023-02-06: Green; 2023-02-07: Green; 2023-02-08: Green; 2023-02-09: Green; 2023-02-10: Green; 2023-02-11: Green; 2023-02-12: Green; 2023-02-13: Green; 2023-02-14: Green; 2023-02-15: Green; 2023-02-16: Green; 2023-02-17: Green; 2023-02-19: Green; 2023-02-22: Green; 2023-02-23: Green; 2023-02-25: Green; 2023-03-01: Green; 2023-03-02: Green; 2023-03-03: Green; 2023-03-04: Green; 2023-03-05: Green; 2023-03-06: Green; 2023-03-07: Green; 2023-03-09: Green; 2023-03-10: Green; 2023-03-11: Green; 2023-03-12: Green; 2023-03-13: Green; 2023-03-14: Green; 2023-03-15: Green; 2023-03-16: Green; 2023-03-17: Green; 2023-03-18: Green; 2023-03-19: Green; 2023-03-20: Green; 2023-03-21: Green; 2023-03-22: Green; 2023-03-23: Green; 2023-03-24: Green; 2023-03-29: Green; 2023-03-30: Green; 2023-03-31: Green; 2023-04-03: Green; 2023-04-04: Green; 2023-04-05: Green; 2023-04-06: Green; 2023-04-07: Green; 2023-04-08: Green; 2023-04-09: Green; 2023-04-10: Green; 2023-04-18: Green; 2023-04-19: Green; 2023-04-20: Green; 2023-05-02: Red; 2023-05-03: Red; 2023-05-05: Green; 2023-05-10: Green; 2023-05-13: Green; 2023-05-15: Green; 2023-05-16: Green; 2023-05-17: Green; 2023-05-18: Green; 2023-05-19: Green; 2023-05-20: Green; 2023-05-23: Green; 2023-05-24: Green; 2023-05-25: Green; 2023-05-26: Green; 2023-05-27: Green; 2023-05-28: Green; 2023-05-29: Green; 2023-05-30: Green; 2023-05-31: Green; 2023-06-02: Green; 2023-06-03: Green; 2023-06-04: Green; 2023-06-05: Green; 2023-06-06: Green; 2023-06-07: Green; 2023-06-08: Green; 2023-06-12: Green; 2023-06-13: Green; 2023-06-14: Green; 2023-06-19: Green; 2023-06-20: Green; 2023-06-21: Green; 2023-06-22: Green; 2023-06-23: Green; 2023-06-24: Green; 2023-06-25: Green; 2023-06-26: Green; 2023-06-27: Green; 2023-06-28: Green; 2023-06-29: Green; 2023-07-04: Green; 2023-07-05: Green; 2023-07-06: Green; 2023-07-07: Green; 2023-07-08: Green; 2023-07-09: Green; 2023-07-10: Green; 2023-07-11: Green; 2023-07-12: Green; 2023-07-13: Green; 2023-07-14: Green; 2023-07-17: Green; 2023-07-19: Green; 2023-07-21: Green; 2023-07-22: Green; 2023-07-23: Green; 2023-07-28: Green; 2023-07-29: Green; 2023-08-01: Green; 2023-08-02: Green; 2023-08-03: Green; 2023-08-04: Green; 2023-08-05: Green; 2023-08-06: Green; 2023-08-07: Green; 2023-08-08: Green; 2023-08-09: Green; 2023-08-10: Green; 2023-08-11: Green; 2023-08-12: Green; 2023-08-13: Green; 2023-08-14: Green; 2023-08-15: Green; 2023-08-16: Green; 2023-08-17: Green; 2023-08-18: Green; 2023-08-19: Green; 2023-08-20: Green; 2023-08-21: Green; 2023-08-22: Green; 2023-08-23: Green; 2023-08-24: Green; 2023-08-25: Green; 2023-08-26: Green; 2023-08-27: Green; 2023-08-28: Green; 2023-08-29: Green; 2023-08-30: Green; 2023-08-31: Green; 2023-09-01: Green; 2023-09-02: Green; 2023-09-03: Green; 2023-09-04: Green; 2023-09-05: Green; 2023-09-06: Green; 2023-09-07: Green; 2023-09-08: Green; 2023-09-09: Green; 2023-09-10: Green; 2023-09-11: Green; 2023-09-12: Green; 2023-09-13: Green; 2023-09-14: Green; 2023-09-15: Green; 2023-09-16: Green; 2023-09-17: Green; 2023-09-18: Green; 2023-09-19: Green; 2023-09-20: Green; 2023-09-21: Green; 2023-09-22: Green; 2023-09-23: Green; 2023-09-24: Green; 2023-09-25: Green; 2023-09-26: Green; 2023-09-27: Green; 2023-09-28: Green; 2023-09-29: Green; 2023-10-02: Yellow; 2023-10-03: Yellow; 2023-10-13: Green; 2023-10-22: Green; 2023-10-23: Green; 2023-10-24: Green; 2023-10-25: Green; 2023-10-26: Green; 2023-10-27: Green; 2023-10-31: Green; 2023-11-01: Green; 2023-11-02: Green; 2023-11-03: Green; 2023-11-04: Green; 2023-11-05: Green; 2023-11-06: Green; 2023-11-07: Green; 2023-11-08: Green; 2023-11-09: Green; 2023-11-13: Green; 2023-11-14: Green; 2023-11-15: Green; 2023-11-17: Green; 2023-11-18: Green; 2023-11-23: Green; 2023-11-24: Green,
34,Geçen haftanın en sarı alarm günleri hangileriydi?,14+ mm/s,
34,"Geçen ayın 5, 10 ve 20'sinde makine hangi renk seviyesindeydi?","Aşağıda RTF makinesi titreşim verileri var:
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.85
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00
Tarih: 2023-10-04, Durum: Yellow, Değer: 5.00

Soru: Geçen ayın 5, 10 ve 20'sinde RTF makinesi hangi renk seviyesindeydi?
Lütfen kısa bir Türkçe cevap verin.",
34,Makine 2023-04-27 tarihinde arıza yaptı mı?,"2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
35,"Makine, 14 mm/s üzeri değerlerde kaç kez kırmızı alarma geçti?","2023-01-31, 2023-04-25, 2023-04-26, 2023-04-27, 2023-04-28, 2023-04-29, 2023-04-30, 2023-05-01, 2023-05-04, 2023-07-02, 2023-07-03, 2023-07-24, 2023-10-04, 2023-10-05, 2023-10-06, 2023-11-21, 2023-11-26, 2023-12-10",
35,Toplam kaç kez sarı alarm seviyesine iniş-çıkış oldu?,2023-05-03,
35,Makine performansındaki dalgalanma (max–min) değeri nedir?,0.00–241.18; ort 2.95,
35,Yeşil alandan doğrudan kırmızıya kaç kez geçiş oldu?,0,
35,Turuncu seviyede arıza riski kaç sefer görüldü?,Veri aralığı: 2023-01-18–2023-12-23.,
35,Makine en uzun süre hangi renk seviyesinde kaldı?,"Aşağıda RTF makinesi titreşim verileri var:
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-02, Durum: Yellow, Değer: 9.11
Tarih: 2023-07-03, Durum: Yellow, Değer: 9.11

Soru: RTF makinesi en uzun süre hangi renk seviyesinde kaldı?
Lütfen kısa bir Türkçe cevap verin.",
35,Sarı alarm seviyesinde kaç saat çalıştı?,2023-05-03,
